epoch,train_loss,train_acc1,val_loss,val_acc1,train_samples_per_sec,val_ms_per_sample,lr
1,1.8918559487558837,0.3336338141025641,1.4802793350219727,0.5251,276.376532598201,1.1595931332965848,0.0001
2,1.387216856337001,0.5895432692307693,1.2487863754272461,0.6533,261.07194461505264,1.2271579374966677,0.0002
3,1.1868492185305326,0.6920739850427351,1.0494247960090637,0.7544,276.6348593422273,1.1502576874976511,0.0003
4,0.9891069416816418,0.7862580128205128,0.7492677919387818,0.9018,280.37311260652746,1.1004153250018134,0.0004
5,0.7965046778703347,0.8756677350427351,0.6603198902130127,0.9349,281.03469212633433,1.2251076666987502,0.0005
